aisle,total_items,unique_products,reorder_rate
fresh fruits,3642188,382,0.7181037881625001
fresh vegetables,3418021,569,0.5945463763973363
packaged vegetables fruits,1765313,615,0.6385139632461778
yogurt,1452343,1026,0.6864893485905189
packaged cheese,979763,890,0.585226223076397
milk,891015,243,0.7814279220888537
water seltzer sparkling water,841533,344,0.7295934918773239
chips pretzels,722470,989,0.5887953825072322
soy lactosefree,638253,293,0.6925513863624613
bread,584834,557,0.6701679450921116
refrigerated,575881,673,0.6633019668994116
frozen produce,522654,361,0.5415303432098482
ice cream ice,498425,1091,0.4923509053518584
crackers,458838,747,0.5691442295537859
energy granola bars,456386,832,0.5980069502570193
eggs,452134,125,0.7053661082776345
lunch meat,395130,373,0.6065168425581454
frozen meals,390299,880,0.5566552822323398
baby food formula,382456,718,0.5902587487188069
fresh herbs,377741,86,0.5168356095843448
cereal,377586,454,0.5715836921919775
soft drinks,357537,463,0.6388317852418072
fresh dips tapenades,355685,327,0.607931175056581
soup broth bouillon,346464,737,0.4213540223515286
juice nectars,333933,792,0.5921337513812651
baking ingredients,326692,623,0.3050824629926659
cream,318002,161,0.6850460059999622
other creams cheeses,308007,191,0.565074819728123
nuts seeds dried fruit,306487,582,0.5191704705256667
hot dogs bacon sausage,305655,387,0.556198982512964
candy chocolate,300567,1246,0.5732931426271014
canned jarred vegetables,297037,487,0.4211461871753351
spreads,289400,492,0.48763303386316514
packaged produce,276028,32,0.6907342733345893
canned meals beans,270314,342,0.5044059871112854
dry pasta,266637,457,0.4530616531089084
butter,254317,150,0.5760369932013982
breakfast bakery,250770,226,0.651222235514615
tea,249341,894,0.5276147925932759
oils vinegars,245466,375,0.3508428865912183
paper goods,242996,322,0.5280045762070158
cookies cakes,234065,873,0.5486980112361951
frozen breakfast,232763,296,0.6262206622186516
condiments,222049,466,0.30858053852978395
pasta sauce,218387,399,0.47895250175147785
spices seasonings,212092,797,0.15239141504630066
coffee,207075,680,0.6197271519980684
instant foods,200687,543,0.48953345259035214
frozen appetizers sides,194582,386,0.5255573485728382
tortillas flat bread,193297,241,0.5512035882605524
fruit vegetable snacks,175757,356,0.5924145268751743
asian foods,166607,605,0.35113170515044384
popcorn jerky,163524,316,0.5919864973948779
frozen pizza,162218,335,0.5812117027703461
hot cereal pancake mixes,158164,303,0.4995005184492046
grains rice dried goods,144189,336,0.39826200334283474
poultry counter,129514,82,0.6128603857498031
tofu meat alternatives,129474,159,0.6077745338832506
cleaning products,118477,655,0.28853701562328554
packaged poultry,118437,99,0.599229970363991
buns rolls,113015,195,0.5308410388001593
pickled goods olives,112639,402,0.44787329432967266
preserved dips spreads,108691,264,0.46910047750043704
doughs gelatins bake mixes,106089,463,0.3927739916485215
energy sports drinks,103615,294,0.6496067171741543
granola,101959,184,0.5991133690993439
frozen vegan vegetarian,99369,189,0.5421710996387203
salad dressing toppings,99331,560,0.3414140600618135
prepared meals,99032,317,0.619759269730996
dish detergents,94927,204,0.39316527436872545
laundry,94354,505,0.40484770121033553
canned fruit applesauce,87197,243,0.5630124889617762
specialty cheeses,82491,271,0.48932610830272394
latino foods,74947,257,0.3974408582064659
prepared soups salads,71928,146,0.5965965965965966
breakfast bars pastries,71860,173,0.5859031450041747
frozen meat seafood,71742,229,0.5294388224471022
meat counter,70887,105,0.533045551370491
missing,69145,1255,0.3958493021910478
canned meat seafood,67046,283,0.4774930644632044
honeys syrups nectars,66926,229,0.3590532827301796
food storage,65946,206,0.25504200406393107
soap,64059,525,0.3189247412541563
oral hygiene,63749,565,0.3213540604558503
cat food care,63421,499,0.6208826729316788
marinades meat preparation,62510,409,0.28062709966405375
beers coolers,48657,385,0.5653040672462338
vitamins supplements,45059,1038,0.31150269646463524
plates bowls cups flatware,43348,199,0.4423964196733413
body lotions soap,40768,504,0.3293759811616955
frozen breads doughs,40208,81,0.5399920413847991
refrigerated pudding desserts,37691,98,0.5534212411451009
fresh pasta,36727,123,0.5040705747814959
protein meal replacements,36599,325,0.506325309434684
other,36291,548,0.4079799399300102
trail mix snack mix,35590,69,0.620230401798258
red wines,35181,232,0.5487336914811972
bakery desserts,34871,297,0.4991253477101316
dog food care,34303,473,0.5650526193044341
packaged meat,33865,100,0.5431566514100103
trash bags liners,32081,112,0.3357438982575356
hair care,32013,816,0.24583762846343674
white wines,30558,147,0.630080502650697
seafood counter,29642,54,0.5158896160852844
spirits,28102,195,0.5723436054373354
digestion,26873,338,0.4460611022215607
cold flu allergy,26061,427,0.23621503395878898
diapers wipes,24605,187,0.511562690510059
baking supplies decor,23692,290,0.16722944453824076
mint gum,22664,168,0.5589039887045535
cocoa drink mixes,21214,223,0.4052983878570755
packaged seafood,20931,80,0.5073813960154794
air fresheners candles,19851,354,0.309052440683089
feminine care,19753,285,0.3208120285526249
frozen dessert,19319,112,0.42077747295408663
muscles joints pain relief,18683,172,0.3430926510731681
more household,17514,308,0.2496288683339043
bulk dried fruits vegetables,17368,12,0.6203938277291571
bulk grains rice dried goods,17205,26,0.5332752106945655
indian foods,15901,108,0.4023017420288032
deodorants,14815,317,0.23685453931825853
facial care,12169,277,0.31687073711890873
kosher foods,11798,169,0.4010001695202577
ice cream toppings,11202,85,0.26691662203178
specialty wines champagnes,11198,95,0.4863368458653331
first aid,10872,240,0.19481236203090507
shave needs,10344,198,0.26218097447795824
skin care,10164,245,0.24203069657615112
kitchen supplies,9172,218,0.19537723506323593
eye ear care,8974,113,0.21729440606195677
baby bath body care,8581,132,0.29576972380841393
baby accessories,8160,44,0.5509803921568628
beauty,6168,178,0.21206225680933852
frozen juice,4853,47,0.45085514114980424
