antecedents_str,consequents_str,support,confidence,lift
Organic Garlic,Organic Ginger Root,0.00842413236481033,0.11613351877607789,3.251738525730181
Organic Ginger Root,Organic Garlic,0.00842413236481033,0.23587570621468926,3.251738525730181
Raspberries,Strawberries,0.00862590799031477,0.26348228043143296,3.2163009404388716
Strawberries,Raspberries,0.00862590799031477,0.10529556650246306,3.2163009404388716
Organic Cilantro,Limes,0.012711864406779662,0.2778390297684675,3.0279719220066523
Limes,Organic Cilantro,0.012711864406779662,0.13853765805387577,3.027971922006652
Organic Yellow Onion,Organic Garlic,0.015688054882970138,0.20802675585284283,2.867818086249483
Organic Garlic,Organic Yellow Onion,0.015688054882970138,0.21627260083449237,2.867818086249483
Organic Yellow Onion,Organic Small Bunch Celery,0.008222356739305893,0.10903010033444818,2.359620861386573
Organic Small Bunch Celery,Organic Yellow Onion,0.008222356739305893,0.1779475982532751,2.3596208613865723
Large Lemon,Limes,0.020278450363196126,0.20893970893970895,2.2770867454759705
Limes,Large Lemon,0.020278450363196126,0.22100054975261132,2.2770867454759705
Organic Lemon,Organic Hass Avocado,0.014729620661824051,0.2706209453197405,1.9651244029371928
Organic Hass Avocado,Organic Lemon,0.014729620661824051,0.10695970695970695,1.9651244029371926
Organic Raspberries,Organic Blueberries,0.009937449556093624,0.11601884570082449,1.8548045138493103
Organic Blueberries,Organic Raspberries,0.009937449556093624,0.1588709677419355,1.8548045138493103
Yellow Onions,Large Lemon,0.008071025020177562,0.17837235228539575,1.8378656505746804
Organic Garlic,Organic Zucchini,0.009332122679580307,0.1286509040333797,1.7528354100053052
Organic Zucchini,Organic Garlic,0.009332122679580307,0.12714776632302405,1.7528354100053052
Organic Cucumber,Organic Hass Avocado,0.012560532687651331,0.2369172216936251,1.7203835175290931
Organic Zucchini,Organic Yellow Onion,0.009433010492332526,0.12852233676975944,1.7042319760024824
Organic Yellow Onion,Organic Zucchini,0.009433010492332526,0.12508361204013377,1.7042319760024822
Organic Tomato Cluster,Organic Hass Avocado,0.009533898305084746,0.23391089108910892,1.6985529322162987
Large Lemon,Organic Garlic,0.011753430185633575,0.1211018711018711,1.6694878252597307
Organic Garlic,Large Lemon,0.011753430185633575,0.1620305980528512,1.6694878252597307
Large Lemon,Cucumber Kirby,0.010139225181598063,0.10446985446985448,1.643659043659044
Cucumber Kirby,Large Lemon,0.010139225181598063,0.15952380952380954,1.643659043659044
Large Lemon,Organic Avocado,0.01770581113801453,0.18243243243243243,1.6379259694477086
Organic Avocado,Large Lemon,0.01770581113801453,0.15896739130434784,1.6379259694477086
Organic Garlic,Limes,0.010895883777239709,0.1502086230876217,1.63701800114844
Limes,Organic Garlic,0.010895883777239709,0.11874656404617921,1.63701800114844
Organic Fuji Apple,Banana,0.024112187247780466,0.43218806509945745,1.6366181857749083
Organic Raspberries,Organic Strawberries,0.02365819209039548,0.27620730270906946,1.6330252218623897
Organic Strawberries,Organic Raspberries,0.02365819209039548,0.13987473903966596,1.6330252218623897
Organic Large Extra Fancy Fuji Apple,Bag of Organic Bananas,0.015839386602098465,0.34392113910186195,1.5874022494890132
Organic Hass Avocado,Organic Raspberries,0.018512913640032283,0.13443223443223443,1.5694844613572527
Organic Raspberries,Organic Hass Avocado,0.018512913640032283,0.2161366313309776,1.5694844613572527
Organic Grape Tomatoes,Organic Avocado,0.010038337368845844,0.16950596252129474,1.521868750462929
Cucumber Kirby,Banana,0.02547417271993543,0.4007936507936508,1.517733205985355
Organic Blueberries,Organic Strawberries,0.016041162227602906,0.2564516129032258,1.5162233147013267
Honeycrisp Apple,Banana,0.01881557707828894,0.39893048128342246,1.5106777193815792
Organic Kiwi,Organic Strawberries,0.00842413236481033,0.25379939209726443,1.5005425436731792
Organic Hass Avocado,Bag of Organic Bananas,0.044743744955609364,0.3249084249084249,1.4996471747112028
Bag of Organic Bananas,Organic Hass Avocado,0.044743744955609364,0.20651920838183935,1.4996471747112028
Organic Cilantro,Organic Hass Avocado,0.009332122679580307,0.2039691289966924,1.4811296751759817
Organic Avocado,Limes,0.015032284100080711,0.13496376811594205,1.4708750627435048
Limes,Organic Avocado,0.015032284100080711,0.16382627817482134,1.4708750627435048
Organic Raspberries,Bag of Organic Bananas,0.027239709443099273,0.31802120141342755,1.4678585091547818
Bag of Organic Bananas,Organic Raspberries,0.027239709443099273,0.12572759022118743,1.4678585091547818
Michigan Organic Kale,Organic Baby Spinach,0.010038337368845844,0.22435174746335965,1.4668697367129426
